words,parts,lemma,pos,feats,deps,head,,
а именно,ADV Degree=Pos,,,,,,,
%,а,А,CCONJ,_,parataxis,0,,
%,именно,ИМЕННО,PART,_,fixed,1,,
##,,,,,,,,
а именно,PART,,,,,,,
%,а,а,CCONJ,_,parataxis,0,,
%,именно,именно,PART,_,fixed,1,,
##,,,,,,,,
а не то,SCONJ,,,,,,,
%,а,А,CCONJ,_,cc,0,,
%,не,НЕ,PART,Polarity=Neg,fixed,-1,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,2,,
##,,,,,,,,
а также,CCONJ,,,,,,,
%,а,А,CCONJ,_,cc,0,,
%,также,ТАКЖЕ,PART,_,fixed,1,,
##,,,,,,,,
а то,SCONJ,,,,,,,
%,а,А,CCONJ,_,cc,0,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,1,,
##,,,,,,,,
а то и,CCONJ,,,,,,,
%,а,А,CCONJ,_,cc,0,,
%,то,ТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,fixed,1,,
%,и,И,PART,_,fixed,1,,
##,,,,,,,,
без устали,ADV Degree=Pos,,,,,,,
%,без,БЕЗ,ADP,_,advmod,0,,
%,устали,УСТАЛЬ,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
без умолку,ADV Degree=Pos,,,,,,,
%,без,БЕЗ,ADP,_,advmod,0,,
%,умолку,УМОЛК,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
бок о бок,ADV Degree=Pos,,,,,,,
%,бок,БОК,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,advmod,0,,
%,о,О,ADP,_,fixed,1,,
%,бок,БОК,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,fixed,2,,
##,,,,,,,,
более чем,ADV Degree=Pos,,,,,,,
%,более,БОЛЕЕ,ADV,Degree=Cmp,case,0,,
%,чем,ЧЕМ,SCONJ,_,fixed,1,,
##,,,,,,,,
больше чем,ADV Degree=Pos,,,,,,,
%,больше,БОЛЬШЕ,ADV,Degree=Cmp,case,0,,
%,чем,ЧЕМ,SCONJ,_,fixed,1,,
##,,,,,,,,
в виде,ADP,,,,,,,
%,в,В,ADP,_,case,0,,
%,виде,ВИД,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
в виду,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,advmod,0,,
%,виду,ВИД,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
в значительной мере,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,advmod,0,,
%,значительной,ЗНАЧИТЕЛЬНЫЙ,ADJ,Case=Loc|Degree=Pos|Gender=Fem|Number=Sing,fixed,1,,
%,мере,МЕРА,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,fixed,2,,
##,,,,,,,,
в качестве,ADP,,,,,,,
%,в,В,ADP,_,case,0,,
%,качестве,КАЧЕСТВО,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,fixed,1,,
##,,,,,,,,
в конечном счете,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,advmod,0,,
%,конечном,КОНЕЧНЫЙ,ADJ,Case=Loc|Degree=Pos|Gender=Masc|Number=Sing,fixed,1,,
%,счете,СЧЕТ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,2,,
##,,,,,,,,
в конце концов,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,advmod,0,,
%,конце,КОНЕЦ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,fixed,1,,
%,концов,КОНЕЦ,NOUN,Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur,fixed,2,,
##,,,,,,,,
в настоящее время,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,advmod,0,,
%,настоящее,НАСТОЯЩИЙ,ADJ,Animacy=Inan|Case=Acc|Degree=Pos|Gender=Neut|Number=Sing,fixed,1,,
%,время,ВРЕМЯ,NOUN,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,fixed,2,,
##,,,,,,,,
в обнимку,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,advmod,0,,
%,обнимку,ОБНИМКА,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,fixed,1,,
##,,,,,,,,
